setting,example_id,question_type,level,question,gold_titles,k,dense_full_at_k,rerank_full_at_k,dense_gold_ranks,rerank_gold_ranks,transition
pooled,5a7a3a945542996a35c17147,bridge,hard,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Bank of China Tower (Hong Kong) | One Raffles Place,5,0,0,"{""Bank of China Tower (Hong Kong)"":10,""One Raffles Place"":1}","{""Bank of China Tower (Hong Kong)"":13,""One Raffles Place"":1}",stable_miss
pooled,5a7a3a945542996a35c17147,bridge,hard,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Bank of China Tower (Hong Kong) | One Raffles Place,10,1,0,"{""Bank of China Tower (Hong Kong)"":10,""One Raffles Place"":1}","{""Bank of China Tower (Hong Kong)"":13,""One Raffles Place"":1}",damage
pooled,5a7a455c5542994f819ef1a7,comparison,hard,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud | Ralph Murphy,2,0,1,"{""George Archainbaud"":1,""Ralph Murphy"":4}","{""George Archainbaud"":1,""Ralph Murphy"":2}",rescue
pooled,5a7a455c5542994f819ef1a7,comparison,hard,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud | Ralph Murphy,5,1,1,"{""George Archainbaud"":1,""Ralph Murphy"":4}","{""George Archainbaud"":1,""Ralph Murphy"":2}",stable_hit
pooled,5a7a455c5542994f819ef1a7,comparison,hard,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud | Ralph Murphy,10,1,1,"{""George Archainbaud"":1,""Ralph Murphy"":4}","{""George Archainbaud"":1,""Ralph Murphy"":2}",stable_hit
pooled,5a7a46605542994f819ef1ad,bridge,hard,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,Along the Navajo Trail (film) | Dale Evans,2,0,0,"{""Along the Navajo Trail (film)"":null,""Dale Evans"":2}","{""Along the Navajo Trail (film)"":null,""Dale Evans"":6}",stable_miss
pooled,5a7a46605542994f819ef1ad,bridge,hard,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,Along the Navajo Trail (film) | Dale Evans,5,0,0,"{""Along the Navajo Trail (film)"":null,""Dale Evans"":2}","{""Along the Navajo Trail (film)"":null,""Dale Evans"":6}",stable_miss
pooled,5a7a46605542994f819ef1ad,bridge,hard,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,Along the Navajo Trail (film) | Dale Evans,10,0,0,"{""Along the Navajo Trail (film)"":null,""Dale Evans"":2}","{""Along the Navajo Trail (film)"":null,""Dale Evans"":6}",stable_miss
pooled,5a7a5b3a5542996c55b2dd71,bridge,hard,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,"Mark Masons' Hall, London | St James's Palace",2,0,0,"{""Mark Masons' Hall, London"":5,""St James's Palace"":2}","{""Mark Masons' Hall, London"":6,""St James's Palace"":1}",stable_miss
pooled,5a7a5b3a5542996c55b2dd71,bridge,hard,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,"Mark Masons' Hall, London | St James's Palace",5,1,0,"{""Mark Masons' Hall, London"":5,""St James's Palace"":2}","{""Mark Masons' Hall, London"":6,""St James's Palace"":1}",damage
pooled,5a7a5b3a5542996c55b2dd71,bridge,hard,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,"Mark Masons' Hall, London | St James's Palace",10,1,1,"{""Mark Masons' Hall, London"":5,""St James's Palace"":2}","{""Mark Masons' Hall, London"":6,""St James's Palace"":1}",stable_hit
pooled,5a7a8a9c554299042af8f666,bridge,hard,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp | Lewis lamp,2,1,1,"{""Argand lamp"":2,""Lewis lamp"":1}","{""Argand lamp"":1,""Lewis lamp"":2}",stable_hit
pooled,5a7a8a9c554299042af8f666,bridge,hard,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp | Lewis lamp,5,1,1,"{""Argand lamp"":2,""Lewis lamp"":1}","{""Argand lamp"":1,""Lewis lamp"":2}",stable_hit
pooled,5a7a8a9c554299042af8f666,bridge,hard,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp | Lewis lamp,10,1,1,"{""Argand lamp"":2,""Lewis lamp"":1}","{""Argand lamp"":1,""Lewis lamp"":2}",stable_hit
pooled,5a7b12a355429927d897bf2a,bridge,hard,When was the palace founded at which Columba de Dunbar died in 1435?,Columba de Dunbar | Spynie Palace,2,0,0,"{""Columba de Dunbar"":1,""Spynie Palace"":33}","{""Columba de Dunbar"":1,""Spynie Palace"":8}",stable_miss
pooled,5a7b12a355429927d897bf2a,bridge,hard,When was the palace founded at which Columba de Dunbar died in 1435?,Columba de Dunbar | Spynie Palace,5,0,0,"{""Columba de Dunbar"":1,""Spynie Palace"":33}","{""Columba de Dunbar"":1,""Spynie Palace"":8}",stable_miss
pooled,5a7b12a355429927d897bf2a,bridge,hard,When was the palace founded at which Columba de Dunbar died in 1435?,Columba de Dunbar | Spynie Palace,10,0,1,"{""Columba de Dunbar"":1,""Spynie Palace"":33}","{""Columba de Dunbar"":1,""Spynie Palace"":8}",rescue
pooled,5a7b3f4d5542992d025e67bb,bridge,hard,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",A Christmas Story: The Musical | Pasek and Paul,2,0,0,"{""A Christmas Story: The Musical"":5,""Pasek and Paul"":4}","{""A Christmas Story: The Musical"":4,""Pasek and Paul"":1}",stable_miss
pooled,5a7b3f4d5542992d025e67bb,bridge,hard,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",A Christmas Story: The Musical | Pasek and Paul,5,1,1,"{""A Christmas Story: The Musical"":5,""Pasek and Paul"":4}","{""A Christmas Story: The Musical"":4,""Pasek and Paul"":1}",stable_hit
pooled,5a7b3f4d5542992d025e67bb,bridge,hard,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",A Christmas Story: The Musical | Pasek and Paul,10,1,1,"{""A Christmas Story: The Musical"":5,""Pasek and Paul"":4}","{""A Christmas Story: The Musical"":4,""Pasek and Paul"":1}",stable_hit
pooled,5a7b46e55542995eb53be8e5,bridge,hard,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City | Spaceware Sky Vision II,2,0,0,"{""Ordos City"":27,""Spaceware Sky Vision II"":2}","{""Ordos City"":3,""Spaceware Sky Vision II"":1}",stable_miss
pooled,5a7b46e55542995eb53be8e5,bridge,hard,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City | Spaceware Sky Vision II,5,0,1,"{""Ordos City"":27,""Spaceware Sky Vision II"":2}","{""Ordos City"":3,""Spaceware Sky Vision II"":1}",rescue
pooled,5a7b46e55542995eb53be8e5,bridge,hard,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City | Spaceware Sky Vision II,10,0,1,"{""Ordos City"":27,""Spaceware Sky Vision II"":2}","{""Ordos City"":3,""Spaceware Sky Vision II"":1}",rescue
pooled,5a7b4bc35542992d025e67e0,bridge,hard,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?","Eccles, Greater Manchester | Eric A. Sykes",2,0,1,"{""Eccles, Greater Manchester"":1,""Eric A. Sykes"":3}","{""Eccles, Greater Manchester"":2,""Eric A. Sykes"":1}",rescue
pooled,5a7b4bc35542992d025e67e0,bridge,hard,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?","Eccles, Greater Manchester | Eric A. Sykes",5,1,1,"{""Eccles, Greater Manchester"":1,""Eric A. Sykes"":3}","{""Eccles, Greater Manchester"":2,""Eric A. Sykes"":1}",stable_hit
pooled,5a7b4bc35542992d025e67e0,bridge,hard,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?","Eccles, Greater Manchester | Eric A. Sykes",10,1,1,"{""Eccles, Greater Manchester"":1,""Eric A. Sykes"":3}","{""Eccles, Greater Manchester"":2,""Eric A. Sykes"":1}",stable_hit
pooled,5a7b65ab5542997c3ec97144,bridge,hard,"Where did the architect of the Governor's House, located in Knutsford, graduate from college?","Edmund Sharpe | Governor's House, Knutsford",2,0,1,"{""Edmund Sharpe"":7,""Governor's House, Knutsford"":1}","{""Edmund Sharpe"":2,""Governor's House, Knutsford"":1}",rescue
pooled,5a7b65ab5542997c3ec97144,bridge,hard,"Where did the architect of the Governor's House, located in Knutsford, graduate from college?","Edmund Sharpe | Governor's House, Knutsford",5,0,1,"{""Edmund Sharpe"":7,""Governor's House, Knutsford"":1}","{""Edmund Sharpe"":2,""Governor's House, Knutsford"":1}",rescue
pooled,5a7b65ab5542997c3ec97144,bridge,hard,"Where did the architect of the Governor's House, located in Knutsford, graduate from college?","Edmund Sharpe | Governor's House, Knutsford",10,1,1,"{""Edmund Sharpe"":7,""Governor's House, Knutsford"":1}","{""Edmund Sharpe"":2,""Governor's House, Knutsford"":1}",stable_hit
pooled,5a7b76735542997c3ec9719f,comparison,hard,"which is traditionally drunk before retiring to bed, Hot toddy or Kir?",Hot toddy | Kir (cocktail),2,0,0,"{""Hot toddy"":2,""Kir (cocktail)"":3}","{""Hot toddy"":1,""Kir (cocktail)"":3}",stable_miss
pooled,5a7b76735542997c3ec9719f,comparison,hard,"which is traditionally drunk before retiring to bed, Hot toddy or Kir?",Hot toddy | Kir (cocktail),5,1,1,"{""Hot toddy"":2,""Kir (cocktail)"":3}","{""Hot toddy"":1,""Kir (cocktail)"":3}",stable_hit
pooled,5a7b76735542997c3ec9719f,comparison,hard,"which is traditionally drunk before retiring to bed, Hot toddy or Kir?",Hot toddy | Kir (cocktail),10,1,1,"{""Hot toddy"":2,""Kir (cocktail)"":3}","{""Hot toddy"":1,""Kir (cocktail)"":3}",stable_hit
pooled,5a7b7bed5542997c3ec971bc,bridge,hard,The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,Buckingham Palace | Waterloo Vase,2,0,0,"{""Buckingham Palace"":13,""Waterloo Vase"":1}","{""Buckingham Palace"":5,""Waterloo Vase"":1}",stable_miss
pooled,5a7b7bed5542997c3ec971bc,bridge,hard,The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,Buckingham Palace | Waterloo Vase,5,0,1,"{""Buckingham Palace"":13,""Waterloo Vase"":1}","{""Buckingham Palace"":5,""Waterloo Vase"":1}",rescue
pooled,5a7b7bed5542997c3ec971bc,bridge,hard,The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,Buckingham Palace | Waterloo Vase,10,0,1,"{""Buckingham Palace"":13,""Waterloo Vase"":1}","{""Buckingham Palace"":5,""Waterloo Vase"":1}",rescue
pooled,5a7b7ff75542995eb53be93d,comparison,hard,"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Conan Doyle | Penelope Lively,2,0,1,"{""Arthur Conan Doyle"":3,""Penelope Lively"":6}","{""Arthur Conan Doyle"":2,""Penelope Lively"":1}",rescue
pooled,5a7b7ff75542995eb53be93d,comparison,hard,"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Conan Doyle | Penelope Lively,5,0,1,"{""Arthur Conan Doyle"":3,""Penelope Lively"":6}","{""Arthur Conan Doyle"":2,""Penelope Lively"":1}",rescue
pooled,5a7b7ff75542995eb53be93d,comparison,hard,"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Conan Doyle | Penelope Lively,10,1,1,"{""Arthur Conan Doyle"":3,""Penelope Lively"":6}","{""Arthur Conan Doyle"":2,""Penelope Lively"":1}",stable_hit
pooled,5a7b8749554299294a54a9db,comparison,hard,"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri Bergson | Thomas Friedman,2,0,0,"{""Henri Bergson"":3,""Thomas Friedman"":1}","{""Henri Bergson"":3,""Thomas Friedman"":1}",stable_miss
pooled,5a7b8749554299294a54a9db,comparison,hard,"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri Bergson | Thomas Friedman,5,1,1,"{""Henri Bergson"":3,""Thomas Friedman"":1}","{""Henri Bergson"":3,""Thomas Friedman"":1}",stable_hit
pooled,5a7b8749554299294a54a9db,comparison,hard,"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri Bergson | Thomas Friedman,10,1,1,"{""Henri Bergson"":3,""Thomas Friedman"":1}","{""Henri Bergson"":3,""Thomas Friedman"":1}",stable_hit
pooled,5a7bae20554299294a54aa96,bridge,hard,Onika Tanya Maraj is a judge on a television show hosted by whom? ,American Idol (season 12) | Nicki Minaj,2,0,0,"{""American Idol (season 12)"":null,""Nicki Minaj"":1}","{""American Idol (season 12)"":null,""Nicki Minaj"":1}",stable_miss
pooled,5a7bae20554299294a54aa96,bridge,hard,Onika Tanya Maraj is a judge on a television show hosted by whom? ,American Idol (season 12) | Nicki Minaj,5,0,0,"{""American Idol (season 12)"":null,""Nicki Minaj"":1}","{""American Idol (season 12)"":null,""Nicki Minaj"":1}",stable_miss
pooled,5a7bae20554299294a54aa96,bridge,hard,Onika Tanya Maraj is a judge on a television show hosted by whom? ,American Idol (season 12) | Nicki Minaj,10,0,0,"{""American Idol (season 12)"":null,""Nicki Minaj"":1}","{""American Idol (season 12)"":null,""Nicki Minaj"":1}",stable_miss
pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,2,0,0,"{""Annie Morton"":4,""Terry Richardson"":null}","{""Annie Morton"":1,""Terry Richardson"":null}",stable_miss
pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,5,0,0,"{""Annie Morton"":4,""Terry Richardson"":null}","{""Annie Morton"":1,""Terry Richardson"":null}",stable_miss
pooled,5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Annie Morton | Terry Richardson,10,0,0,"{""Annie Morton"":4,""Terry Richardson"":null}","{""Annie Morton"":1,""Terry Richardson"":null}",stable_miss
pooled,5a7be2595542997c3ec972ac,comparison,hard,"Who was born earlier, Emma Bull or Virginia Woolf?",Emma Bull | Virginia Woolf,2,0,1,"{""Emma Bull"":3,""Virginia Woolf"":1}","{""Emma Bull"":1,""Virginia Woolf"":2}",rescue
pooled,5a7be2595542997c3ec972ac,comparison,hard,"Who was born earlier, Emma Bull or Virginia Woolf?",Emma Bull | Virginia Woolf,5,1,1,"{""Emma Bull"":3,""Virginia Woolf"":1}","{""Emma Bull"":1,""Virginia Woolf"":2}",stable_hit
pooled,5a7be2595542997c3ec972ac,comparison,hard,"Who was born earlier, Emma Bull or Virginia Woolf?",Emma Bull | Virginia Woolf,10,1,1,"{""Emma Bull"":3,""Virginia Woolf"":1}","{""Emma Bull"":1,""Virginia Woolf"":2}",stable_hit
pooled,5a7be5bd5542997c3ec972ba,comparison,hard,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",Basset Hound | Leonberger,2,1,0,"{""Basset Hound"":2,""Leonberger"":1}","{""Basset Hound"":3,""Leonberger"":1}",damage
pooled,5a7be5bd5542997c3ec972ba,comparison,hard,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",Basset Hound | Leonberger,5,1,1,"{""Basset Hound"":2,""Leonberger"":1}","{""Basset Hound"":3,""Leonberger"":1}",stable_hit
pooled,5a7be5bd5542997c3ec972ba,comparison,hard,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",Basset Hound | Leonberger,10,1,1,"{""Basset Hound"":2,""Leonberger"":1}","{""Basset Hound"":3,""Leonberger"":1}",stable_hit
pooled,5a7c6bcc55429935c91b519c,bridge,hard,Rock Springs is a collection of short stories by an author born in what year?,Richard Ford | Rock Springs (short story collection),2,1,1,"{""Richard Ford"":2,""Rock Springs (short story collection)"":1}","{""Richard Ford"":2,""Rock Springs (short story collection)"":1}",stable_hit
pooled,5a7c6bcc55429935c91b519c,bridge,hard,Rock Springs is a collection of short stories by an author born in what year?,Richard Ford | Rock Springs (short story collection),5,1,1,"{""Richard Ford"":2,""Rock Springs (short story collection)"":1}","{""Richard Ford"":2,""Rock Springs (short story collection)"":1}",stable_hit
pooled,5a7c6bcc55429935c91b519c,bridge,hard,Rock Springs is a collection of short stories by an author born in what year?,Richard Ford | Rock Springs (short story collection),10,1,1,"{""Richard Ford"":2,""Rock Springs (short story collection)"":1}","{""Richard Ford"":2,""Rock Springs (short story collection)"":1}",stable_hit
pooled,5a7c960655429935c91b5244,bridge,hard,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",1974 Texas Tech Red Raiders football team | Texas Tech University,2,0,0,"{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":7}","{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":9}",stable_miss
pooled,5a7c960655429935c91b5244,bridge,hard,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",1974 Texas Tech Red Raiders football team | Texas Tech University,5,0,0,"{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":7}","{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":9}",stable_miss
pooled,5a7c960655429935c91b5244,bridge,hard,"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",1974 Texas Tech Red Raiders football team | Texas Tech University,10,1,1,"{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":7}","{""1974 Texas Tech Red Raiders football team"":1,""Texas Tech University"":9}",stable_hit
pooled,5a7c9f325542990527d554e6,bridge,hard,What act for Innocent Records achieved Platinum sales and shares its name with a primary color in the RGB color model?,Blue | Innocent Records,2,0,0,"{""Blue"":7,""Innocent Records"":4}","{""Blue"":5,""Innocent Records"":1}",stable_miss
pooled,5a7c9f325542990527d554e6,bridge,hard,What act for Innocent Records achieved Platinum sales and shares its name with a primary color in the RGB color model?,Blue | Innocent Records,5,0,1,"{""Blue"":7,""Innocent Records"":4}","{""Blue"":5,""Innocent Records"":1}",rescue
pooled,5a7c9f325542990527d554e6,bridge,hard,What act for Innocent Records achieved Platinum sales and shares its name with a primary color in the RGB color model?,Blue | Innocent Records,10,1,1,"{""Blue"":7,""Innocent Records"":4}","{""Blue"":5,""Innocent Records"":1}",stable_hit
pooled,5a7caae75542996dd594b971,bridge,hard,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroid | Steroid use in Australia,2,0,0,"{""Anabolic steroid"":1,""Steroid use in Australia"":3}","{""Anabolic steroid"":2,""Steroid use in Australia"":4}",stable_miss
pooled,5a7caae75542996dd594b971,bridge,hard,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroid | Steroid use in Australia,5,1,1,"{""Anabolic steroid"":1,""Steroid use in Australia"":3}","{""Anabolic steroid"":2,""Steroid use in Australia"":4}",stable_hit
pooled,5a7caae75542996dd594b971,bridge,hard,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroid | Steroid use in Australia,10,1,1,"{""Anabolic steroid"":1,""Steroid use in Australia"":3}","{""Anabolic steroid"":2,""Steroid use in Australia"":4}",stable_hit
pooled,5a7cb9b95542990527d55515,bridge,hard,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",Frozen Fever | Making Today a Perfect Day,2,0,0,"{""Frozen Fever"":22,""Making Today a Perfect Day"":1}","{""Frozen Fever"":6,""Making Today a Perfect Day"":1}",stable_miss
pooled,5a7cb9b95542990527d55515,bridge,hard,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",Frozen Fever | Making Today a Perfect Day,5,0,0,"{""Frozen Fever"":22,""Making Today a Perfect Day"":1}","{""Frozen Fever"":6,""Making Today a Perfect Day"":1}",stable_miss
pooled,5a7cb9b95542990527d55515,bridge,hard,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",Frozen Fever | Making Today a Perfect Day,10,0,1,"{""Frozen Fever"":22,""Making Today a Perfect Day"":1}","{""Frozen Fever"":6,""Making Today a Perfect Day"":1}",rescue
pooled,5a7cbf8c554299452d57b9f4,comparison,hard,"Which came out first, Dinosaur or McFarland, USA","Dinosaur (film) | McFarland, USA",2,0,1,"{""Dinosaur (film)"":3,""McFarland, USA"":1}","{""Dinosaur (film)"":2,""McFarland, USA"":1}",rescue
pooled,5a7cbf8c554299452d57b9f4,comparison,hard,"Which came out first, Dinosaur or McFarland, USA","Dinosaur (film) | McFarland, USA",5,1,1,"{""Dinosaur (film)"":3,""McFarland, USA"":1}","{""Dinosaur (film)"":2,""McFarland, USA"":1}",stable_hit
pooled,5a7cbf8c554299452d57b9f4,comparison,hard,"Which came out first, Dinosaur or McFarland, USA","Dinosaur (film) | McFarland, USA",10,1,1,"{""Dinosaur (film)"":3,""McFarland, USA"":1}","{""Dinosaur (film)"":2,""McFarland, USA"":1}",stable_hit
pooled,5a7cc50e554299452d57ba3e,comparison,hard,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo | Screaming Trees,2,0,0,"{""Letters to Cleo"":3,""Screaming Trees"":1}","{""Letters to Cleo"":1,""Screaming Trees"":3}",stable_miss
pooled,5a7cc50e554299452d57ba3e,comparison,hard,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo | Screaming Trees,5,1,1,"{""Letters to Cleo"":3,""Screaming Trees"":1}","{""Letters to Cleo"":1,""Screaming Trees"":3}",stable_hit
pooled,5a7cc50e554299452d57ba3e,comparison,hard,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo | Screaming Trees,10,1,1,"{""Letters to Cleo"":3,""Screaming Trees"":1}","{""Letters to Cleo"":1,""Screaming Trees"":3}",stable_hit
pooled,5a7cf29255429909bec768b8,bridge,hard,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,Ingerophrynus gollum | The Lord of the Rings,2,0,0,"{""Ingerophrynus gollum"":1,""The Lord of the Rings"":6}","{""Ingerophrynus gollum"":2,""The Lord of the Rings"":5}",stable_miss
pooled,5a7cf29255429909bec768b8,bridge,hard,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,Ingerophrynus gollum | The Lord of the Rings,5,0,1,"{""Ingerophrynus gollum"":1,""The Lord of the Rings"":6}","{""Ingerophrynus gollum"":2,""The Lord of the Rings"":5}",rescue
pooled,5a7cf29255429909bec768b8,bridge,hard,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,Ingerophrynus gollum | The Lord of the Rings,10,1,1,"{""Ingerophrynus gollum"":1,""The Lord of the Rings"":6}","{""Ingerophrynus gollum"":2,""The Lord of the Rings"":5}",stable_hit
pooled,5a7d19d85542995ed0d165e8,bridge,hard,The Tennessee Volunteers football team plays as a member for a conference in what city?,1984 Tennessee Volunteers football team | Southeastern Conference,2,0,0,"{""1984 Tennessee Volunteers football team"":8,""Southeastern Conference"":11}","{""1984 Tennessee Volunteers football team"":2,""Southeastern Conference"":12}",stable_miss
pooled,5a7d19d85542995ed0d165e8,bridge,hard,The Tennessee Volunteers football team plays as a member for a conference in what city?,1984 Tennessee Volunteers football team | Southeastern Conference,5,0,0,"{""1984 Tennessee Volunteers football team"":8,""Southeastern Conference"":11}","{""1984 Tennessee Volunteers football team"":2,""Southeastern Conference"":12}",stable_miss
pooled,5a7d19d85542995ed0d165e8,bridge,hard,The Tennessee Volunteers football team plays as a member for a conference in what city?,1984 Tennessee Volunteers football team | Southeastern Conference,10,0,0,"{""1984 Tennessee Volunteers football team"":8,""Southeastern Conference"":11}","{""1984 Tennessee Volunteers football team"":2,""Southeastern Conference"":12}",stable_miss
pooled,5a7d2afd5542995f4f402221,comparison,hard,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan | Mahesh Bhupathi,2,0,1,"{""Ferdi Taygan"":1,""Mahesh Bhupathi"":16}","{""Ferdi Taygan"":1,""Mahesh Bhupathi"":2}",rescue
pooled,5a7d2afd5542995f4f402221,comparison,hard,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan | Mahesh Bhupathi,5,0,1,"{""Ferdi Taygan"":1,""Mahesh Bhupathi"":16}","{""Ferdi Taygan"":1,""Mahesh Bhupathi"":2}",rescue
pooled,5a7d2afd5542995f4f402221,comparison,hard,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan | Mahesh Bhupathi,10,0,1,"{""Ferdi Taygan"":1,""Mahesh Bhupathi"":16}","{""Ferdi Taygan"":1,""Mahesh Bhupathi"":2}",rescue
pooled,5a7d3470554299452d57bb56,bridge,hard,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance (film) | Strip search phone call scam,2,1,1,"{""Compliance (film)"":2,""Strip search phone call scam"":1}","{""Compliance (film)"":2,""Strip search phone call scam"":1}",stable_hit
pooled,5a7d3470554299452d57bb56,bridge,hard,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance (film) | Strip search phone call scam,5,1,1,"{""Compliance (film)"":2,""Strip search phone call scam"":1}","{""Compliance (film)"":2,""Strip search phone call scam"":1}",stable_hit
pooled,5a7d3470554299452d57bb56,bridge,hard,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance (film) | Strip search phone call scam,10,1,1,"{""Compliance (film)"":2,""Strip search phone call scam"":1}","{""Compliance (film)"":2,""Strip search phone call scam"":1}",stable_hit
pooled,5a7d54165542995f4f402256,bridge,hard,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Dirleton Castle | Yellowcraigs,2,0,1,"{""Dirleton Castle"":1,""Yellowcraigs"":8}","{""Dirleton Castle"":1,""Yellowcraigs"":2}",rescue
pooled,5a7d54165542995f4f402256,bridge,hard,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Dirleton Castle | Yellowcraigs,5,0,1,"{""Dirleton Castle"":1,""Yellowcraigs"":8}","{""Dirleton Castle"":1,""Yellowcraigs"":2}",rescue
pooled,5a7d54165542995f4f402256,bridge,hard,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Dirleton Castle | Yellowcraigs,10,1,1,"{""Dirleton Castle"":1,""Yellowcraigs"":8}","{""Dirleton Castle"":1,""Yellowcraigs"":2}",stable_hit
pooled,5a7d61775542991319bc93b9,bridge,hard,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege of Bharatpur | Stapleton Cotton, 1st Viscount Combermere",2,0,0,"{""Siege of Bharatpur"":1,""Stapleton Cotton, 1st Viscount Combermere"":3}","{""Siege of Bharatpur"":2,""Stapleton Cotton, 1st Viscount Combermere"":3}",stable_miss
pooled,5a7d61775542991319bc93b9,bridge,hard,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege of Bharatpur | Stapleton Cotton, 1st Viscount Combermere",5,1,1,"{""Siege of Bharatpur"":1,""Stapleton Cotton, 1st Viscount Combermere"":3}","{""Siege of Bharatpur"":2,""Stapleton Cotton, 1st Viscount Combermere"":3}",stable_hit
pooled,5a7d61775542991319bc93b9,bridge,hard,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege of Bharatpur | Stapleton Cotton, 1st Viscount Combermere",10,1,1,"{""Siege of Bharatpur"":1,""Stapleton Cotton, 1st Viscount Combermere"":3}","{""Siege of Bharatpur"":2,""Stapleton Cotton, 1st Viscount Combermere"":3}",stable_hit
